Excellent contact et très bon accueil. Appartement conforme à la description. Petit (en particulier la salle de bain ;)) mais fonctionnel. Extrêmement bien situé et calme.,1,french,
"Super appart, Adrien très gentils et en plus de ca le métro est a 30 sec a pied, 
Rien a redire, si je reviens sur Paris c'est de toute évidence chez Adrien que je retourne :) 
Merci pour tout ",1,french,
"Nous avons apprécié notre séjour à Paris. L'appartement est bien situé (la station Ségur est au coin de la rue). Nous étions à distance de marche de l'hôtel des Invalides, du Quartier Latin, de la Tour Eiffel, etc.

Nous avons eu un bon séjour.",1,french,
"Appartement charmant, dans une rue calme et proche de toutes commodites",1,french,
"Pas vu Adrien , pas de chauffage a l'arrivée alors qu'il faisait très froid a Paris. ",1,french,
Bel appartement confortable et bien aménagé,1,french,
"Appartement charmant et bien situé. Adrien a été très réactif et serviable.
Je recommande",1,french,
Très bel appartement. À recommander pour qui veut passer un séjour sympa sur Paris.,1,french,
"Très bien dans l'ensemble, aucun soucis à déplorer. Bien situé et appart très sympa. Deuxieme etage pas très pratique quand on a des valises car pas d'ascenseur. Mais sinon très bien entrée et sortir autonome, simple et hote réactif. Je recommande !",1,french,
Appartement spacieux qui repond parfaitement au besoin d'un couple. Bien  sement propre et bien équipé. Je reviendrai sans hesitation et je ne manquerai pas a le recommander à mes amis,1,french,
Logement très bien situé  et propre par contre sonore et surtout sdb wc TRÈS petit,1,french,
"L'appartement de Nadine est idéalement situé dans le quartier de Montmartre. Ultra spacieux, avec ne ascenseur, il domine les toits de Paris avec une superbe vue. 
Vous êtes au coeur du Village de Montmartre, au pied des escaliers, et avec plein de petits commerces et restos sympa tout autour. Vraiment génial.",1,french,
"RAS pour Pierre, Hôte agréable et attentionné. 
Quartier super et très bien situé. 
",1,french,
"RAS pour cet hôte, je recommande vivement. 
Merci encore ! ",1,french,
L appartement de pierre Georges très mignon et bien agencée,1,french,
Cet appartement a été à la hauteur de mes attentes.  Très près des réseaux de transport en communs et des commerces de proximité que nous avons tous besoin.  Merci Pierre.,1,french,
"L'appartement est magnifique, ensoleillé, propre et chaleureux. Le balcon est tout simplement un des point fort de mon voyage. Merci Pierre pour ce séjour parfait",1,french,
"L appartement est confort , pratique , super bien placé , dans l un des meilleurs quartiers de Paris .
Benoit est disponible , arrangeant , il a contribué a ce que nous passions  un super séjour 
je recommande appart et hôte de qualité ",1,french,
"très agréable séjour au 1°étage d'un appart très silencieux et qui a son charme , placé au coeur de Montmartre et d'ou on peut faire beaucoup de visites à pied; les commerces sont nombreux et l'hebergeant sympa ",1,french,
"Appartement très bien situé dans Montmartre, juste derrière le Moulin Rouge et auprès du Métro.
Appartement au calme, on y dort très bien !
Benoit est très arrangeant et sympathique.
N'hésitez pas à louer son appartement.
",1,french,
"Bonjour tout le monde!
J'ai passé 4 jours parfaits chez Benoît!!Il est très gentil, accueillant et chez lui c'est comme se sentir à la maison!Chez Benoît il y a tout ce qu'il faut et sa maison moi et ma famille on l'a trouvée magnifique! À proximité on a des boulangeries, des supermarchés, des restaux!Absolument tout!Les lignes de métro 2 et 12 sont juste à côté et en 7 minutes on est sur Champs- Élysées!Je conseille vivement passer le séjour à Paris chez lui car c'est que du bonheur!Le quartier est magnifique!

Hola a todos!
Estuve durante 4 días en casa de Benoît y fue maravilloso!Benoît es muy amable y te hace sentirte como en tu propia casa a parte de que su casa es preciosa y muy acogedora!Estuve con mi familia y todos pensamos que Benoît es muy simpático y estuvimos muy agusto!En el barrio hay de todo, súper, panadería, restaurantes etcétera!Las líneas de metro 2 y 12 están justo al lado y en 7 minutos estás en Campos Eliseos!Sinceramente perfecto!Y por supuesto el barrio, al lado del Moulin Rouge, felicidad completa!",1,french,
"l' apartement c'est petit, mais très confortable et c'est vraiment attaché au metro: ça c'est très important pour les touristes. Il y a des bistrot très proche. Benoit est tres disponible Fidatevi di lui",1,french,
"Bonjour, nous avons passé 2 nuits à Paris dans l'appart de Benoît que nous n'avons pas rencontré, un ami nous a reçu le soir à notre arrivée à 21h15. Nous étions 2 adultes et 2 enfants et les journées parisiennes de visite étant bien remplies, tout le monde a dormi profondément avec un appartement très calme. Quartier sympa.
Prévoir un balai avec un manche qui tient - Lol..
Bonne 1ère expérience pour notre part.
corinne",1,french,
"Super appartement très bien placé en plein coeur de Montmartre, idéal pour un séjour parisien! Benoit a été très arrangeant pour l'arrivée en envoyant un de ses amis nous accueillir! Merci pour tout!",1,french,
"Un gran MERCI encore à Benoît pour son accueil dans son appart. Appartement retrouvé comme sur les photos, top emplacement dans le quartier et nous nous sommes vraiment senti comme chez nous. Mon premier AirB&B mais au niveau d'accueil je ne saurais pas dire quoi attendre en plus. Ideal pour un weekend à Paris. ",1,french,
Benoit est un très bon hôte. L'appartement est super bien situé. On se sentait attendues c'était très agréable.,1,french,
"Hôte très accueillant et disponible
Appartement calme dans quartier très vivant
Appartement un peu étroit pour 4",1,french,
"Un grand merci à Benoît pour son accueil !!! Appartement très sympathique et décoré avec bon goût, propre et très confortable.  Dans un immeuble typique  Parisien, jolie cage d'escalier et magnifique carrelage..  Très bien situé, Proche du Métro. On se sent très vite Parisien .-) A recommander !!! Merci Benoît et a très bientôt !!  Vincent Coline Eva & Jade",1,french,
"Appartement super bien placé à Montmartre, juste à côté d'une station de métro et des lignes de bus. Benoit a été très gentil. ",1,french,
"Un chouette appartement très bien situé. Un endroit idéal pour visiter Paris et y passer un agréable moment. Quoi de mieux que d'aller a Montmartre a pied pour prendre son petit déjeuner au soleil?
Un hôte sympathique, agréable, et très arrangeant au niveau des horaires de départ et d'arrivée (notre arrivée était tardive...). Des petites attentions qui nous ont fait plaisir en arrivant (livres laisses sur Paris, les visites les restaurants,...)
Un lieu que je conseille à toutes les personnes souhaitant visiter la capitale. 
Merci Benoit pour cet excellent weekend. ",1,french,
"Nous avons séjourné dans l'appartement de Benoît durant 2 nuits afin de visiter Paris en famille. Nous étions 2 adultes et 2 enfants. L'appartement est très fonctionnel et idéalement localisé.
Nous avons particulièrement apprécié la disponibilité de Benoît face à nos questions, tout cela avec une grande sympathie.
A recommander.
Laureen & Anthony",1,french,
"Un grand merci à Benoît, qui nous a accueillis chaleureusement, reçus comme si on été ses amis. Son appart est tel qu'il le décrit et le quartier est calme et sympa à 2 rues du Moulin Rouge! Sa disponibilité et ses petites attentions (comme laisser des guides et adresses) nous ont permis de passer un excellent séjour à Paris. 
Merci Benoît. Franck et Martine, Les Creusois!!",1,french,
"Excellent localization, appartement génial, decóration agreable, aérodynamique avec du vent frais qui courre pour la fenêtre. Quartier calm, sans aucun bruit et pourtant si proche de la vie bohème. Juste à côté du Moulin Rouge et des bons restaurants de Montmartre. 
Reçoit tranquillement 2 couples jeunes ou une famille de 4 personnes. 
Si je pouvais donner des avis, je lui donnerais 5 étoiles. ",1,french,
"Nous avons passé un excellent séjour à Paris, au cœur de Montmartre dans l'appartement de Benoit. Appartement nouvellement repeint, très bien situé et conforme à sa description. Nous n'avons pas pu rencontré Benoit mais il a toujours été disponible par mail ou au téléphone pour répondre à toutes nos questions. Merci d'ailleurs pour les guides sur Paris et Montmartre mis à notre disposition.",1,french,
"Logement très bien situé  avec beaucoup de commerces à proximité. 
Appartement très au calme! 2 stations de métro toutes proches.
Très bon séjour sur Paris malgré la chaleur!",1,french,
"Appartement très accueillant et proche des commodités.  L'accès au centre de Paris est rapide. N'ayant pas rencontré Benoît,  les indications fournies ont été très claires.",1,french,
"Benoît a beaucoup d'excellents commentaires et ça n'est pas pour rien!
Il est ouvert, accueillant, très arrangeant (notamment sur les horaires) et relax. Nous avons fait connaissance dans son studio bien arrangé et confortable pour quelques jours (3 personnes, idéal pour 2) et le contact passe très facilement. 
Le quartier est top: le métro est à 3mn à pied, les restau et bars de 1mn à 10mn pour un choix énorme.
La rue et l'appart en général sont super calmes. Entrée avec code, seulement deux étages à grimper.
Les seules petis hics: pas de vraie cuisinière, pas de chauffe-eau (avec sa vieille plaque, ça nous a pris une plombe pour un thé :-) ), SDB étroite (mais pour qq jours, ça va!) Des petits riens qui font le charme de cet appart!
Juste finir le commentaire pour remercier chaleureusement Benoît. Nous étions à Paris lors des attentats du vendredi 13. Il s'est inquiété de nous et  a été d'une empathie et d'une gentillesse touchante. En plus d'un logement agréable, nous avons connu une personne avec un grand cœur. Merci!",1,french,
"Je n ai pas rencontre benoit mais il a ete tres reactif :)
Tres arrangeant vu que je suis arrivee tard le vendredi soir et j ai pu repartir a l heure que je voulais le dimanche
L appartement est conforme aux photos ! A 2 min du moulin rouge restos et magasins ! Bref tout etait parfait ! Merci benoit !",1,french,
"Encore un super week end dans  votre appartement! La situation et le logement sont vraiment top, et encore mieux avec les travaux réalisés! 
Merci encore et à bientôt",1,french,
"Très bien reçu par Benoît très bien situé ( Montmartre a deux pas, restauration, métro, le Moulin Rouge, calme, pratique et fonctionnel 

",1,french,
"L appartement est IDEALEMENT placé au coeur de Montmartre!!! Rue au calme. Appartement super bien agencé et qui correspond très bien aux photos. 
Proche d une rue commercante et des transports!!! Je recommande vivement cet Airbnb car tout s est super bien passé. Merci beaucoup!!!",1,french,
