Excellent contact et très bon accueil. Appartement conforme à la description. Petit (en particulier la salle de bain ;)) mais fonctionnel. Extrêmement bien situé et calme.,1,french,fr-en,"Excellent touch and very welcome. Apartment conform to the description. Small (especially the bathroom ;)), but functional. Extremely well located and quiet."
"Super appart, Adrien très gentils et en plus de ca le métro est a 30 sec a pied, 
Rien a redire, si je reviens sur Paris c'est de toute évidence chez Adrien que je retourne :) 
Merci pour tout ",1,french,fr-en,"Super appart, Adrien very nice and on top of that the subway is a 30 sec walk, 
Nothing wrong, if I return to Paris it is obviously at Adrien as I return :) 
Thank you for everything "
"Nous avons apprécié notre séjour à Paris. L'appartement est bien situé (la station Ségur est au coin de la rue). Nous étions à distance de marche de l'hôtel des Invalides, du Quartier Latin, de la Tour Eiffel, etc.

Nous avons eu un bon séjour.",1,french,fr-en,"We enjoyed our stay in Paris. The apartment is well located (the station Ségur is located at the corner of the street). We were within walking distance of the hotel des Invalides, the Latin Quarter, the Eiffel Tower, etc

We had a good stay."
"Appartement charmant, dans une rue calme et proche de toutes commodites",1,french,fr-en,"Charming apartment, in a quiet street and close to all conveniences"
"Pas vu Adrien , pas de chauffage a l'arrivée alors qu'il faisait très froid a Paris. ",1,french,fr-en,"Not seen Adrien , no heating on arrival as it was very cold in Paris. "
Bel appartement confortable et bien aménagé,1,french,fr-en,Beautiful apartment comfortable and well equipped
"Appartement charmant et bien situé. Adrien a été très réactif et serviable.
Je recommande",1,french,fr-en,"Apartment lovely and well located. Adrien was very responsive and eager to help.
I recommend"
Très bel appartement. À recommander pour qui veut passer un séjour sympa sur Paris.,1,french,fr-en,Very nice apartment. Recommend for who wants to spend a stay cool on Paris.
"Très bien dans l'ensemble, aucun soucis à déplorer. Bien situé et appart très sympa. Deuxieme etage pas très pratique quand on a des valises car pas d'ascenseur. Mais sinon très bien entrée et sortir autonome, simple et hote réactif. Je recommande !",1,french,fr-en,"Very well overall, no concerns were reported. Well located and the apartment very nice. Second floor not very convenient when you have luggage since no elevator. But otherwise very good entry and exit stand-alone, and simple breakfasts reactive. I recommend !"
Appartement spacieux qui repond parfaitement au besoin d'un couple. Bien  sement propre et bien équipé. Je reviendrai sans hesitation et je ne manquerai pas a le recommander à mes amis,1,french,fr-en,"Spacious apartment that meets perfectly the needs of a couple. Well experienced, clean and well equipped. I will return without hesitation and I will certainly not recommend it to my friends"
Logement très bien situé  et propre par contre sonore et surtout sdb wc TRÈS petit,1,french,fr-en,Housing very well located and clean however the sound and especially bathroom VERY small
